"","X","id","c000","ca01","ca02","ca03","ce01","ce02","ce03","cns01","cns02","cns03","cns04","cns05","cns06","cns07","cns08","cns09","cns10","cns11","cns12","cns13","cns14","cns15","cns16","cns17","cns18","cns19","cns20","cr01","cr02","cr03","cr04","cr05","cr07","ct01","ct02","cd01","cd02","cd03","cd04","cg01","cg02"
"3263",3263,360470003014000,72.73046875,13,46,13,8,17,47,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,68,0,53,9,0,7,0,3,64,8,8,8,17,26,34,38
"3264",3264,360470003014004,91.015625,26,44,22,9,21,62,0,0,0,0,0,0,0,0,2,2,8,31,0,0,0,32,0,0,17,0,82,5,0,2,0,3,83,9,4,12,11,39,32,60
"3265",3265,360470003014005,19.70703125,5,5,12,9,5,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,15,7,0,0,0,0,17,5,3,3,7,4,3,19
"3266",3266,360470003015000,1.12109375,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"3267",3267,360470003015005,233.75,38,130,65,33,28,172,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,1,0,0,7,219,145,68,2,17,0,1,205,28,20,37,50,88,106,127
"3268",3268,360470003015006,30.0390625,3,15,8,8,7,11,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,1,2,0,11,0,18,6,0,2,0,0,21,5,6,4,7,6,16,10
"3269",3269,360470003015008,13.26171875,2,4,4,4,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,5,3,0,2,0,0,6,4,2,0,3,3,1,9
"3270",3270,360470005011000,202.50390625,34,122,52,70,60,78,0,0,0,0,0,0,13,0,3,0,77,5,0,1,2,1,84,11,10,1,139,48,0,20,0,1,175,33,24,42,58,50,102,106
"3271",3271,360470005011001,122.4140625,33,66,22,52,46,23,0,0,0,0,0,0,44,0,4,0,12,2,0,0,0,6,2,34,17,0,78,17,0,26,0,0,101,20,13,26,21,28,54,67
"3272",3272,360470005012000,41.90625,9,14,14,16,11,10,0,0,0,1,0,1,9,0,0,0,9,0,0,0,0,4,1,0,12,0,24,11,0,2,0,0,29,8,8,5,8,7,20,17
"3273",3273,360470005012001,120.09375,31,62,28,56,47,18,0,0,0,0,9,0,10,0,0,0,2,0,0,0,1,3,0,49,47,0,78,24,0,16,1,2,103,18,11,26,28,25,48,73
"3274",3274,360470005013000,207.171875,47,112,48,74,77,56,0,0,0,7,0,1,123,0,0,0,14,0,0,5,0,25,0,26,6,0,115,63,1,25,0,3,169,38,37,33,41,49,101,106
"3275",3275,360470005013001,41.0078125,1,20,20,9,21,11,0,0,0,2,0,1,0,0,1,0,19,2,0,4,0,0,0,0,12,0,28,6,3,4,0,0,28,13,10,8,9,13,21,20
"3276",3276,360470005021000,76.453125,12,42,18,19,28,25,0,0,0,0,0,0,0,0,0,1,17,0,1,0,0,25,0,0,28,0,55,15,0,2,0,0,47,25,12,18,15,15,30,42
"3277",3277,360470005021001,52.55859375,6,30,18,16,17,21,0,0,0,0,0,0,1,0,2,0,3,4,0,2,0,28,1,0,13,0,40,12,0,2,0,0,33,21,9,12,15,12,16,38
"3278",3278,360470005021002,48.84375,3,37,10,7,10,33,0,0,0,0,0,0,0,0,1,0,18,0,0,0,0,24,0,7,0,0,39,8,2,1,0,0,40,10,13,12,11,11,29,21
"3279",3279,360470005022000,245.95703125,68,133,45,70,106,70,0,0,0,16,0,1,55,0,44,0,10,4,0,8,0,16,2,58,32,0,167,47,0,25,0,7,205,41,35,42,38,63,108,138
"3280",3280,360470005022001,555.1953125,180,292,89,173,225,163,0,0,0,0,0,1,40,0,28,2,45,13,0,5,29,85,0,136,176,1,349,108,1,94,0,9,475,86,49,81,117,134,225,336
"3281",3281,360470005022002,79.5,15,38,24,17,28,32,0,0,0,20,0,0,0,0,0,2,16,6,0,0,0,16,0,2,15,0,52,15,0,10,0,0,62,15,11,16,16,19,35,42
"3282",3282,360470007001000,6.12890625,1,2,2,0,1,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,4,1,0,0,3,1,2,3
"3283",3283,360470007001001,41.734375,10,24,8,19,17,6,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,7,6,16,8,0,31,7,0,4,0,0,38,4,5,11,8,8,21,21
"3284",3284,360470007001002,-1.1171875,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,1,0,0,1,2,0
"3285",3285,360470007001003,48.703125,10,31,9,8,12,30,0,0,0,1,0,0,7,0,4,3,22,1,0,2,0,2,0,0,8,0,35,7,0,7,0,1,33,17,4,13,7,16,32,18
"3286",3286,360470007001004,109.65234375,24,61,23,27,31,50,0,0,0,18,0,13,15,0,0,1,5,28,0,0,2,2,0,21,3,0,85,12,1,7,2,1,87,21,11,20,22,31,52,56
"3287",3287,360470007002000,12.6875,3,6,4,3,7,3,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,8,0,8,3,0,2,0,0,10,3,0,1,6,3,4,9
"3288",3288,360470007002001,13.44140625,2,8,8,7,7,4,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,9,0,14,4,0,0,0,0,11,7,6,3,3,4,10,8
"3289",3289,360470007002002,10.5859375,2,5,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,4,0,7,1,0,2,0,0,10,0,0,3,3,2,2,8
"3290",3290,360470007003000,165.2890625,38,98,29,35,78,52,0,0,0,0,0,4,0,0,6,0,3,26,0,1,8,108,5,0,4,0,115,30,0,15,0,5,126,39,15,28,41,43,41,124
"3291",3291,360470007003001,14.515625,1,8,5,7,7,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,9,0,8,2,0,4,0,0,13,1,3,3,5,2,3,11
"3292",3292,360470007003002,29.2265625,5,13,11,14,10,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,9,0,0,17,1,19,9,0,0,0,1,22,7,2,8,9,5,8,21
"3293",3293,360470007003003,289.45703125,85,159,45,81,123,85,0,0,0,0,0,0,25,1,4,0,20,8,0,6,0,59,1,144,21,0,227,35,1,18,2,6,234,55,26,44,73,61,148,141
"3294",3294,360470009001000,690.78515625,184,387,118,103,201,385,0,0,0,0,0,0,10,0,3,289,25,111,0,11,30,152,0,49,7,2,452,150,5,66,1,15,559,130,51,88,131,235,287,402
"3295",3295,360470009001001,2142.1640625,491,1184,469,376,923,845,0,0,0,34,5,75,181,1,46,151,150,597,84,322,38,352,26,10,61,11,1324,627,16,135,2,40,1692,452,226,355,475,597,994,1150
"3296",3296,360470009001002,1385.45703125,241,810,337,322,319,747,0,0,0,0,0,1,67,0,41,0,60,172,3,5,437,522,4,56,12,8,931,340,8,83,0,26,1168,220,108,204,316,519,633,755
"3297",3297,360470009001003,834.96875,165,485,181,151,319,361,0,0,0,10,0,1,32,0,7,9,13,31,1,18,195,455,0,50,5,4,479,296,3,42,0,11,712,119,86,127,212,241,278,553
"3298",3298,360470009001004,173446.06640625,22586,110645,40218,11946,36517,124986,0,0,0,0,0,0,33,0,858,154,90,1210,109,743,168061,550,175,148,243,1075,103940,53915,1182,10879,376,3157,138291,35158,12020,24953,46786,67104,75272,98177
"3299",3299,360470009001005,145.27734375,15,83,47,38,61,46,0,0,0,0,0,0,12,0,0,26,69,5,0,5,0,4,4,3,17,0,92,34,0,14,1,4,113,32,17,21,39,53,86,59
"3300",3300,360470009001006,212.796875,79,106,27,94,69,49,0,0,0,0,0,0,23,4,0,0,2,9,0,0,0,33,1,121,19,0,114,76,3,14,3,2,159,53,16,31,43,43,102,110
"3301",3301,360470009002000,1271.01953125,162,773,338,398,618,257,0,0,0,4,0,0,8,0,22,9,3,52,0,3,34,1105,4,22,2,5,764,371,21,80,5,32,747,526,245,258,311,297,278,995
"3302",3302,360470009002001,139.015625,73,52,12,85,38,14,0,0,0,0,0,0,52,0,73,0,0,1,0,0,0,3,0,0,7,1,83,45,0,7,0,2,109,28,6,20,14,24,69,68
"3303",3303,360470009002002,208.73046875,83,87,39,88,91,30,0,0,0,0,2,5,170,0,0,0,0,2,0,2,0,0,0,23,5,0,139,32,3,30,0,5,173,36,21,39,28,38,101,108
"3304",3304,360470009002003,510.9921875,147,247,117,201,200,110,0,0,0,0,0,0,6,0,1,2,0,2,44,0,10,209,17,1,217,2,216,257,3,24,0,11,418,93,63,89,104,108,155,356
"3305",3305,360470011001000,4830.7421875,1067,2891,873,944,831,3056,0,0,727,128,19,14,13,4,113,1211,362,386,9,183,4,311,499,701,68,79,2844,1476,24,387,8,92,4034,797,418,714,1069,1563,2437,2394
"3306",3306,360470011001001,8.58203125,0,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,1,0,0,0,0,2,3,2,0,1,2,3,2
"3307",3307,360470011001002,1326.8046875,242,735,345,232,295,795,0,0,0,0,1,0,10,0,10,42,0,36,1,22,328,9,26,687,142,8,757,428,5,100,3,29,1004,318,160,184,350,386,621,701
"3308",3308,360470011001003,50.1328125,13,28,8,5,25,19,0,0,0,0,0,0,7,0,0,0,0,0,0,15,0,24,0,0,1,2,21,22,1,4,0,1,43,6,6,6,16,8,25,24
"3309",3309,360470011001004,117.6796875,72,33,13,56,46,16,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,6,7,102,0,0,52,59,0,7,0,0,94,24,5,12,14,15,53,65
"3310",3310,360470011001005,3.7421875,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,1,1,1,2
"3311",3311,360470011001006,47133.12109375,1888,30213,15033,1584,2989,42561,0,0,0,0,0,474,269,44929,3,0,0,21,2,18,0,1370,1,36,7,4,18398,22364,383,4984,83,922,39248,7886,5460,11930,15842,12014,37857,9277
"3312",3312,360470011001007,209.83984375,63,105,46,95,86,33,0,0,0,0,0,1,70,0,0,0,3,23,0,0,15,29,0,55,17,1,91,50,4,63,0,6,186,28,23,35,31,62,115,99
"3313",3313,360470011001008,634.83203125,104,408,123,92,185,358,0,0,0,0,0,0,13,0,6,186,17,24,0,62,0,213,0,69,44,1,357,163,1,105,1,8,523,112,64,97,143,227,393,242
"3314",3314,360470011001009,29.11328125,20,14,2,25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,19,15,0,2,0,0,27,9,3,5,5,3,16,20
"3315",3315,360470011001011,694.78125,154,412,127,110,233,350,0,0,0,0,0,0,3,0,8,260,0,11,201,8,0,118,0,53,28,3,362,247,3,70,0,11,571,122,73,93,159,214,254,439
"3316",3316,360470011001012,310.6953125,50,196,64,45,77,188,0,0,0,0,0,0,7,0,114,1,19,6,1,0,73,62,0,1,26,0,185,97,2,20,2,4,261,49,31,61,74,94,182,128
"3317",3317,360470011001013,1111.90625,252,587,271,376,475,259,0,0,0,0,0,10,136,0,10,0,18,7,2,3,879,20,1,14,7,3,651,296,8,124,2,29,859,251,139,176,262,281,469,641
"3318",3318,360470013001005,131.37890625,3,54,74,3,4,124,0,0,0,0,0,0,0,0,7,0,0,2,0,119,0,0,0,0,2,1,107,22,0,2,0,0,105,26,7,28,34,59,118,13
"3319",3319,360470013001006,91.66796875,17,41,36,14,29,51,0,0,0,0,0,0,0,0,0,0,49,6,0,24,1,0,0,0,14,0,64,19,1,10,0,0,52,42,12,18,21,26,73,21
"3320",3320,360470013001007,219.859375,51,112,52,43,103,69,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,187,0,26,0,0,107,91,0,11,0,6,172,43,13,37,68,46,69,146
"3321",3321,360470013001008,23.0546875,11,9,0,1,4,15,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,1,0,0,11,9,1,1,3,4,11,9
"3322",3322,360470013001009,15.96484375,0,9,3,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,8,3,0,1,0,0,10,2,3,3,2,4,6,6
"3323",3323,360470013001011,130.08203125,30,76,26,11,58,63,0,0,2,0,23,0,0,0,0,0,0,22,0,1,0,79,0,0,5,0,79,43,1,4,1,4,98,34,15,22,34,31,39,93
"3324",3324,360470013001012,193.6171875,24,116,54,20,74,100,0,0,0,0,0,0,0,0,1,0,15,0,79,0,0,95,0,0,4,0,81,86,0,18,1,8,158,36,18,30,49,73,93,101
"3325",3325,360470013001013,14.84765625,2,10,3,13,1,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,9,0,2,12,3,2,4,3,4,9,6
"3326",3326,360470013001015,663.74609375,328,242,94,458,93,113,0,0,0,0,0,2,19,1,7,2,0,309,0,0,238,3,0,16,65,2,357,206,5,76,1,19,531,133,47,76,107,106,242,422
"3327",3327,360470013001016,13.0234375,5,9,1,0,1,14,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,0,0,11,4,0,0,0,0,12,3,2,1,4,3,4,11
"3328",3328,360470015001000,14.60546875,0,9,7,3,11,2,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,16,0,4,2,1,9,12,4
