"","X","id","c000","ca01","ca02","ca03","ce01","ce02","ce03","cns01","cns02","cns03","cns04","cns05","cns06","cns07","cns08","cns09","cns10","cns11","cns12","cns13","cns14","cns15","cns16","cns17","cns18","cns19","cns20","cr01","cr02","cr03","cr04","cr05","cr07","ct01","ct02","cd01","cd02","cd03","cd04","cg01","cg02"
"17527",17527,360810357002003,105.96484375,27,62,17,29,37,40,0,0,0,5,2,2,9,5,1,5,4,3,0,8,8,30,0,8,11,5,29,67,1,8,0,1,80,26,7,13,28,31,49,57
"17528",17528,360810357002004,196.03125,32,116,46,42,85,67,1,0,0,17,10,10,26,6,4,12,5,9,2,19,7,33,1,18,8,6,107,79,0,5,0,3,78,116,40,38,54,30,102,92
"17529",17529,360810357002005,69.390625,17,35,19,22,22,27,0,0,0,5,4,3,6,1,1,5,3,4,1,5,5,17,0,5,3,3,29,40,0,1,0,1,48,23,10,19,16,9,29,42
"17530",17530,360810357002006,49.80078125,12,29,13,11,20,23,1,0,0,1,2,0,6,2,0,2,3,3,1,4,3,14,0,5,2,5,19,21,4,4,0,6,26,28,9,13,14,6,17,37
"17531",17531,360810357002007,44.8125,12,26,8,6,19,21,0,0,1,2,2,1,5,0,0,2,0,1,0,5,5,11,0,6,2,3,10,33,0,3,0,0,31,15,7,12,12,3,18,28
"17532",17532,360810357002008,15.7109375,4,6,4,3,4,7,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,6,1,1,1,0,4,10,0,0,0,0,10,4,0,2,7,1,7,7
"17533",17533,360810357003002,228.68359375,48,124,60,54,101,77,2,0,2,12,6,8,30,10,10,12,5,15,4,14,17,36,2,29,8,10,182,30,2,12,1,5,205,27,20,47,50,67,116,116
"17534",17534,360810357003003,69.21484375,11,35,20,10,28,28,0,0,0,1,0,2,6,4,2,4,2,1,1,2,9,13,0,9,4,6,22,22,0,21,0,1,45,21,13,7,21,14,32,34
"17535",17535,360810357003004,42.7578125,6,30,6,11,7,24,0,0,0,0,3,0,3,4,0,2,2,2,1,3,4,8,0,6,3,1,22,14,0,6,0,0,22,20,6,13,10,7,16,26
"17536",17536,360810357003005,34.28125,6,20,9,2,16,17,0,0,0,2,1,1,9,4,0,1,0,0,1,1,2,6,1,3,1,2,9,20,1,5,0,0,26,9,2,9,10,8,17,18
"17537",17537,360810357003007,13.08984375,6,3,4,6,3,4,0,0,0,1,0,0,2,2,0,1,0,0,0,0,0,2,0,2,1,2,9,4,0,0,0,0,5,8,2,2,2,1,3,10
"17538",17538,360810357003008,2.16015625,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,1,1,1
"17539",17539,360810357003009,34.51171875,8,22,6,6,16,14,0,0,0,1,2,1,3,3,4,0,3,0,0,1,5,6,1,1,3,2,23,12,0,1,0,0,16,20,5,6,14,3,17,19
"17540",17540,360810357003010,4.41015625,2,3,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,2,3,0,0,0,0,4,1,1,1,1,0,2,3
"17541",17541,360810357003011,13.84765625,1,13,3,2,10,5,0,0,0,0,2,0,0,2,0,1,1,2,0,3,0,2,2,1,0,1,9,7,0,1,0,0,10,7,1,7,4,4,9,8
"17542",17542,360810357003012,34.46875,10,19,6,6,14,15,0,0,1,1,0,1,4,1,2,3,1,3,0,1,0,8,0,4,3,2,15,16,0,0,0,4,18,17,4,3,16,2,18,17
"17543",17543,360810357003013,11.3125,4,5,2,4,3,4,0,0,0,0,1,0,2,0,0,1,0,2,0,0,0,1,1,2,0,1,3,8,0,0,0,0,8,3,1,0,4,2,6,5
"17544",17544,360810358001000,11.0078125,2,6,2,3,4,3,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,4,0,1,1,0,3,4,0,0,3,0,10,0,3,1,3,1,4,6
"17545",17545,360810358001002,56.3828125,16,22,15,12,18,23,0,0,1,1,1,2,5,4,0,0,1,1,1,3,6,11,0,6,6,4,38,14,0,0,0,1,51,2,3,8,12,14,26,27
"17546",17546,360810358001003,18.78515625,0,13,8,1,8,12,0,0,0,0,1,1,4,1,0,0,2,2,1,0,1,7,0,1,0,0,0,20,1,0,0,0,20,1,2,10,5,4,8,13
"17547",17547,360810358001004,0.03515625,0,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,4,0,0,0,0,4,0,1,2,1,0,2,2
"17548",17548,360810358001005,18.546875,2,7,3,4,5,3,0,0,0,0,0,2,1,3,0,0,0,0,1,1,0,3,0,1,0,0,6,6,0,0,0,0,12,0,3,3,2,2,6,6
"17549",17549,360810358001006,13.76953125,2,5,4,4,5,2,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,2,1,0,1,2,7,3,1,0,0,0,9,2,4,1,2,2,8,3
"17550",17550,360810358001007,463.9921875,72,273,119,79,129,256,0,0,0,13,7,9,47,58,3,16,16,11,1,20,74,106,9,12,14,48,28,398,0,29,0,9,436,28,67,102,134,89,215,249
"17551",17551,360810358001008,92.6484375,21,59,14,20,37,37,0,0,0,2,1,3,10,6,3,3,1,4,1,4,12,28,1,6,6,3,6,86,0,0,0,2,77,17,7,24,24,18,45,49
"17552",17552,360810358001009,18.390625,0,14,5,3,8,8,0,0,1,0,0,0,4,1,0,1,1,0,1,1,1,6,0,1,0,1,1,18,0,0,0,0,19,0,2,4,8,5,6,13
"17553",17553,360810358002000,47.96484375,11,21,14,15,20,11,0,0,0,2,2,1,4,6,0,3,1,1,0,3,1,10,0,8,3,1,9,35,1,0,0,1,39,7,7,14,7,7,19,27
"17554",17554,360810358002001,13.76953125,3,6,5,2,5,7,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,5,0,4,0,1,1,12,0,1,0,0,13,1,2,3,3,3,5,9
"17555",17555,360810358002002,10.84765625,2,7,1,2,5,3,0,0,0,2,0,0,2,0,1,0,1,1,0,1,0,2,0,0,0,0,3,7,0,0,0,0,10,0,3,2,0,3,4,6
"17556",17556,360810358002003,12.5859375,4,5,2,4,4,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,5,0,1,2,0,2,9,0,0,0,0,10,1,1,1,2,3,4,7
"17557",17557,360810358002004,13.77734375,4,10,1,4,5,6,0,0,0,0,0,0,4,0,1,1,0,0,0,0,1,5,0,2,0,1,2,12,1,0,0,0,11,4,1,2,6,2,8,7
"17558",17558,360810358002005,14.93359375,5,10,0,4,8,3,0,0,0,0,0,0,2,2,0,1,0,2,0,1,0,5,0,2,0,0,1,13,0,0,0,1,13,2,3,2,4,1,6,9
"17559",17559,360810358002006,15.05859375,2,14,1,3,3,11,0,0,0,0,0,0,0,2,1,1,0,1,1,1,1,6,1,1,1,0,0,17,0,0,0,0,17,0,1,1,6,7,3,14
"17560",17560,360810358002007,9.72265625,4,7,4,5,2,8,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,4,0,2,1,2,5,9,0,0,0,1,13,2,2,2,4,3,7,8
"17561",17561,360810358002008,35.3984375,9,21,6,8,13,15,0,0,0,0,0,3,7,2,1,2,1,1,0,1,1,6,0,6,3,2,4,20,0,12,0,0,34,2,1,7,11,8,15,21
"17562",17562,360810358002009,22.9296875,7,16,2,6,10,9,0,0,0,0,0,1,4,2,0,1,1,2,0,1,1,7,1,1,1,2,8,17,0,0,0,0,25,0,2,5,3,8,10,15
"17563",17563,360810358002010,16.046875,4,10,3,4,7,6,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,8,1,1,1,1,6,10,0,0,0,1,12,5,2,3,3,5,6,11
"17564",17564,360810358002011,22.71484375,2,9,7,4,9,5,0,0,0,1,0,1,1,5,1,0,0,1,0,1,0,5,1,0,1,0,1,16,1,0,0,0,17,1,1,3,5,7,13,5
"17565",17565,360810358002012,25.90625,3,14,9,6,11,9,0,0,1,1,1,1,2,1,1,1,0,2,0,0,2,10,1,1,1,0,8,18,0,0,0,0,24,2,2,6,6,9,10,16
"17566",17566,360810358002013,4.3203125,0,3,1,2,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,1,1,2,3,1
