"","id","c000","ca01","ca02","ca03","ce01","ce02","ce03","cns01","cns02","cns03","cns04","cns05","cns06","cns07","cns08","cns09","cns10","cns11","cns12","cns13","cns14","cns15","cns16","cns17","cns18","cns19","cns20","cr01","cr02","cr03","cr04","cr05","cr07","ct01","ct02","cd01","cd02","cd03","cd04","cg01","cg02"
"1484","360050229023000",2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,1,1,1
"1485","360050229023001",9,0,4,5,3,6,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,3,0,0,0,0,7,1,0,0,0,1,5,4,3,2,4,0,5,4
"1486","360050230001000",4,0,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,4,1,1,1,1,2,2
"1487","360050230001001",6,1,4,1,4,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,2,0,0,4,0,0,4,2,1,1,2,1,5,1
"1488","360050230001002",5,1,2,2,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,2,0,0,5,0,0,1,1,2,3,2
"1489","360050230001003",89,35,40,14,44,24,21,0,0,0,0,0,0,38,20,0,0,4,5,0,0,0,0,16,3,3,0,57,25,0,3,0,4,59,30,9,19,12,14,55,34
"1490","360050230001004",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
"1491","360050230001006",3,1,1,1,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,1,1,2
"1492","360050230001008",14,5,5,4,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,10,0,8,4,0,2,0,0,9,5,4,2,1,2,12,2
"1493","360050230002001",1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
"1494","360050230002002",39,1,24,14,6,30,3,0,0,0,0,0,0,0,0,0,1,0,0,0,26,0,5,0,0,7,0,25,12,0,0,2,0,14,25,11,8,12,7,15,24
"1495","360050230002004",4,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,3,1,1,2,1,0,4,0
"1496","360050230002005",9,0,3,6,1,5,3,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,9,0,1,1,2,5,6,3
"1497","360050231001000",184,25,104,55,56,76,52,0,0,0,0,7,58,55,1,0,0,0,0,0,15,0,0,0,48,0,0,131,32,2,14,0,5,105,79,36,37,45,41,136,48
"1498","360050231001001",30,7,20,3,9,20,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,23,0,19,8,1,2,0,0,25,5,5,8,6,4,20,10
"1499","360050231001002",13,1,7,5,1,10,2,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,2,0,0,11,2,0,0,0,0,4,9,7,3,2,0,8,5
"1500","360050231001004",513,46,345,122,23,70,420,0,0,0,0,0,0,0,0,0,0,0,1,1,72,0,412,0,24,2,1,254,211,9,25,2,12,240,273,73,116,159,119,206,307
"1501","360050231001006",39,5,27,7,14,22,3,0,0,0,0,0,0,2,0,0,0,26,0,0,0,1,0,0,0,10,0,29,8,0,1,1,0,11,28,13,5,11,5,30,9
"1502","360050231001007",48,7,30,11,3,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,0,34,7,1,6,0,0,30,18,10,12,8,11,31,17
"1503","360050231001008",62,25,27,10,33,24,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,47,0,0,32,21,0,9,0,0,49,13,11,8,11,7,28,34
"1504","360050231001009",9,0,7,2,2,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,6,3,0,0,0,0,0,9,3,2,3,1,6,3
"1505","360050231001010",12,3,7,2,2,6,4,0,0,0,0,1,2,1,0,0,0,0,0,0,8,0,0,0,0,0,0,12,0,0,0,0,0,3,9,3,1,4,1,12,0
"1506","360050231001011",2,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,1,1
"1507","360050231001012",18,1,5,12,1,6,11,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0,14,4,2,7,4,4,14,4
"1508","360050232001000",15,6,5,4,5,6,4,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14,1,0,0,0,0,6,9,3,4,1,1,9,6
"1509","360050232001001",2,0,2,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,1,0,2,0
"1510","360050232001002",2090,74,1044,972,644,1286,160,0,0,0,0,0,0,10,0,5,4,1,9,1,8,2,2033,0,3,7,7,1157,743,47,62,11,70,870,1220,584,525,623,284,186,1904
"1511","360050232001003",17,1,10,6,3,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,10,5,0,2,0,0,11,6,4,2,3,7,10,7
"1512","360050232001004",4,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,2,0,0,4,0,1,0,0,2,3,1
"1513","360050232002000",9,1,5,3,6,3,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,3,0,8,0,0,1,0,0,4,5,2,1,4,1,6,3
