"X","id","s000","s000_d0","s000_d1","s000_d2","s000_d3","coords.x1","coords.x2","optional"
35653,360050063002001,14,10,4,0,0,1829380.25,586177.25,TRUE
35654,360050063002003,20,14,6,0,0,1829547.125,585670.3125,TRUE
35655,360050063002007,3,2,1,0,0,1829631.25,585831.8125,TRUE
35656,360050063002013,10,9,1,0,0,1829717.375,585664.8125,TRUE
35657,360050063002014,6,6,0,0,0,1829796.125,585633.375,TRUE
35658,360050063002015,96,78,18,0,0,1829871.25,585588.625,TRUE
35659,360050063002016,5,4,1,0,0,1829938.375,585547.5,TRUE
35660,360050063002018,10,9,1,0,0,1830001.75,585583.625,TRUE
35661,360050063002019,5,3,2,0,0,1829787.375,585444.25,TRUE
35662,360050063002020,41,30,11,0,0,1829699.25,585448,TRUE
35663,360050063002021,43,37,6,0,0,1829719.125,585283.875,TRUE
35664,360050063002023,376,307,68,1,0,1829865.25,585299,TRUE
35665,360050063002024,20,18,2,0,0,1829867.625,585434.75,TRUE
35666,360050063002025,164,141,23,0,0,1829953,585428.125,TRUE
35667,360050063002026,155,129,26,0,0,1829945.375,585255.8125,TRUE
35668,360050063002028,67,54,12,1,0,1829763.875,584955.25,TRUE
35669,360050063002033,74,58,15,1,0,1829782.75,585097.3125,TRUE
35670,360050063002034,23,20,3,0,0,1829780.625,585187.5625,TRUE
35671,360050063002035,23,20,3,0,0,1829860.5,585180.6875,TRUE
35672,360050063002036,5,5,0,0,0,1829850.375,585045.9375,TRUE
35673,360050063002037,76,62,14,0,0,1829929.375,585034.625,TRUE
35674,360050063002038,119,99,19,1,0,1829903.125,584854.4375,TRUE
35675,360050063002039,32,26,6,0,0,1829846.75,584854.625,TRUE
35676,360050063003000,62,48,13,1,0,1830081.125,586276.125,TRUE
35677,360050063003001,65,56,9,0,0,1829980.375,586299.5,TRUE
35678,360050063003002,75,63,12,0,0,1829897.5,586312.625,TRUE
35679,360050063004000,4,4,0,0,0,1829956.125,586180,TRUE
35680,360050063004001,7,7,0,0,0,1829876,586195.375,TRUE
35681,360050063005000,2,2,0,0,0,1829846.25,586023.8125,TRUE
35682,360050063005001,380,283,97,0,0,1829816.375,585870.3125,TRUE
35683,360050063006001,12,11,1,0,0,1829920,585977.3125,TRUE
35684,360050063006004,203,161,42,0,0,1829952.875,585638.5,TRUE
35685,360050064001001,4,4,0,0,0,1834271.375,587871.3125,TRUE
35686,360050064001002,6,6,0,0,0,1834202.25,587833.0625,TRUE
35687,360050064001003,3,3,0,0,0,1834130.75,587793.25,TRUE
35688,360050064002000,16,13,3,0,0,1834112.375,588043.8125,TRUE
35689,360050064003000,8,8,0,0,0,1834040.875,588009.75,TRUE
35690,360050064004000,5,4,1,0,0,1834106.875,588256.375,TRUE
35691,360050065001000,513,452,61,0,0,1830745,585252.8125,TRUE
35692,360050065001001,326,284,42,0,0,1830531.875,585271.8125,TRUE
35693,360050065001002,3058,2298,757,3,0,1830272,585229.625,TRUE
35694,360050065001003,3,3,0,0,0,1830166.375,585146.9375,TRUE
35695,360050065001004,222,192,30,0,0,1830704.25,585164.125,TRUE
35696,360050065001005,28,24,4,0,0,1830612.125,585162.4375,TRUE
