"","id","c000","ca01","ca02","ca03","ce01","ce02","ce03","cns01","cns02","cns03","cns04","cns05","cns06","cns07","cns08","cns09","cns10","cns11","cns12","cns13","cns14","cns15","cns16","cns17","cns18","cns19","cns20","cr01","cr02","cr03","cr04","cr05","cr07","ct01","ct02","cd01","cd02","cd03","cd04","cg01","cg02"
"82","360050016004009",18,3,11,4,3,11,4,0,0,0,0,0,0,2,2,0,1,0,1,0,1,0,9,0,0,0,2,8,7,0,0,0,3,8,10,5,1,5,4,4,14
"83","360050016004010",29,7,16,6,9,13,7,0,0,0,0,0,0,3,2,1,1,1,1,0,5,0,9,1,5,0,0,19,10,0,0,0,0,16,13,7,6,4,5,12,17
"84","360050019001002",47,11,28,8,8,23,16,0,0,0,3,1,0,6,5,0,0,3,0,1,3,7,12,1,3,2,0,20,20,0,2,0,5,13,34,12,10,8,6,22,25
"85","360050019001004",298,72,171,55,86,112,100,0,0,1,17,12,11,34,12,12,11,8,25,3,17,26,56,5,32,10,6,252,19,2,23,0,2,221,77,37,43,62,84,153,145
"86","360050019001009",154,37,94,23,29,70,55,0,0,2,3,7,7,17,6,2,4,7,11,1,13,20,27,1,9,8,9,65,84,2,2,1,0,107,47,20,32,34,31,82,72
"87","360050019001010",127,31,76,20,23,58,46,0,0,0,7,5,4,10,4,12,4,4,10,2,7,6,27,3,12,5,5,71,46,1,6,0,3,70,57,16,18,29,33,65,62
"88","360050019001015",22,7,10,5,3,14,5,0,0,0,1,3,2,2,0,0,1,0,1,0,2,0,4,0,3,1,2,16,6,0,0,0,0,5,17,3,6,3,3,11,11
"89","360050019002002",26,4,19,3,5,7,14,0,0,0,1,0,1,2,1,1,0,2,1,0,0,1,11,0,3,1,1,12,11,2,0,0,1,7,19,7,6,5,4,14,12
"90","360050019003004",62,20,33,9,11,30,21,0,0,0,1,1,1,12,2,1,3,5,3,1,4,4,7,0,6,7,4,30,31,0,1,0,0,44,18,9,11,12,10,34,28
"91","360050019003008",22,5,12,5,5,7,10,0,0,0,0,2,0,1,1,0,1,2,3,0,2,0,5,1,1,2,1,15,6,0,0,1,0,15,7,1,4,5,7,12,10
"92","360050019003014",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
"93","360050019003016",101,25,66,10,23,44,34,0,0,0,1,3,1,10,4,1,4,7,5,0,17,5,22,1,7,6,7,31,63,0,3,0,4,59,42,16,20,19,21,47,54
"94","360050019003017",29,9,18,2,6,11,12,0,0,0,1,1,1,5,4,1,0,3,2,1,0,0,4,0,3,2,1,12,8,0,9,0,0,14,15,3,3,9,5,20,9
"95","360050019003022",130,42,73,15,34,50,46,0,0,0,4,5,6,14,4,7,7,3,15,1,7,8,19,3,13,7,7,101,22,4,2,0,1,89,41,13,24,22,29,68,62
"96","360050019003025",61,19,36,6,19,28,14,0,0,0,3,2,4,3,2,1,3,3,3,0,5,4,16,0,7,3,2,23,31,6,1,0,0,45,16,6,12,17,7,32,29
"97","360050019003038",14,3,8,3,6,3,5,0,0,0,0,0,1,2,1,0,0,1,0,1,2,1,2,1,1,1,0,13,1,0,0,0,0,6,8,2,3,3,3,8,6
"98","360050020001000",8,1,7,0,2,4,2,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,1,0,2,0,0,8,0,0,0,0,0,2,6,2,2,0,3,2,6
"99","360050020001002",58,15,34,9,19,23,16,0,0,0,1,0,2,11,3,1,4,0,4,0,3,3,21,0,3,1,1,29,16,11,1,0,1,25,33,8,11,12,12,20,38
"100","360050020001003",202,58,109,35,67,77,58,0,0,1,6,9,8,28,8,7,7,10,4,3,7,16,37,8,24,12,7,115,33,2,46,5,1,150,52,22,34,39,49,109,93
"101","360050020001004",664,131,391,142,150,239,275,1,0,1,21,10,13,76,67,13,12,26,11,8,31,114,131,16,36,12,65,219,424,5,5,0,11,391,273,110,128,177,118,306,358
"102","360050020001005",140,27,87,26,29,53,58,0,0,0,4,5,6,13,12,3,4,4,6,0,10,22,24,0,11,1,15,82,44,10,0,1,3,49,91,28,28,28,29,60,80
"103","360050020002000",329,70,206,53,75,121,133,0,0,2,14,8,9,36,34,5,8,14,16,3,20,41,59,10,18,4,28,138,179,5,0,0,7,131,198,57,62,79,61,159,170
"104","360050020002001",47,18,22,7,18,17,12,0,0,0,2,1,1,8,2,1,4,2,2,1,1,1,10,2,6,3,0,31,13,1,1,0,1,21,26,7,7,5,10,17,30
"105","360050020002002",73,19,39,15,23,31,19,0,0,0,5,0,3,12,2,1,5,4,3,0,4,4,20,0,5,3,2,35,32,0,1,4,1,32,41,12,19,12,11,34,39
"106","360050020002003",218,57,136,25,70,99,49,0,0,0,9,4,6,25,14,5,4,8,12,3,20,5,65,5,25,6,2,127,82,0,3,0,6,88,130,46,33,48,34,92,126
